Developer,Repos_Fetched,Top_Language,Total_Stars,Repo_Count,Integrity_Token
kabirkohli123,49,Jupyter Notebook,3,49,b7858f83-a1a7-4946-aede-758a3786d06e
vivekgawar,45,Python,0,45,9e7a2384-c8a7-4620-9a2a-d5255a68093a
Chaitanyarai899,59,JavaScript,45,59,7c1a9e0d-15b8-4690-9d4f-cacd8ad50400
pjhyett,8,Ruby,607,8,84b9c100-2821-4e7a-8be7-4da5731bd946
defunkt,100,Ruby,35152,100,49398125-8dd7-452e-89e5-fd1562c2398f
